Title,Price,Rating,Reviews,Rating_Num,Reviews_Int,Rating_Category
"JBL Vibe Beam 2 - True Wireless Noise Cancelling Earbuds Pure Bass Sound & Smart Ambient Technology, 4mics for Crisp, Clear Calls, up to 40Hrs of Playback, IP54 Dust & Water Resistant (Black)",43.02,4.2 out of 5 stars,1248,4.2,1248,High
"Wireless Earbuds, Bluetooth 5.4 Headphones in Ear, True Wireless Ear Buds HiFi Stereo Deep Bass with 4 ENC Noise Cancelling Mic, Bluetooth Ear Buds 47H Long Playtime LED IP7 Waterproof USB-C (Black)",18.99,4.7 out of 5 stars,237,4.7,237,High
"Wentronic Y01 Wireless Over Ear Headphones, Noise Canceling Bluetooth 5.3 Headphones with Microphones,Hi-Res Audio,48H Playtime,Foldable,Breathable Soft Earpads for iOS/Android/Samsung/PC-Starlight",43.02,4.1 out of 5 stars,611,4.1,611,High
"Sponsored Ad - Skullcandy Hesh Evo Wireless Over-Ear Bluetooth Headphones with Extra USB-C Charging Cable, Noise Isolating, 36 Hours Battery, Foldable Lightweight Design, Microphone for iPhone Android - True Black",43.02,4.5 out of 5 stars,7732,4.5,7732,High
TAGRY Hybrid Active Noise Cancelling Headphones 100H Playtime Wireless Bluetooth Over Ear Headphone with Fast Charging Hi-Res Audio Comfort Earcups Headsets for Home Travel Office Phone PC Black,43.02,4.8 out of 5 stars,411,4.8,411,High
"Beats Studio Pro - Wireless Bluetooth Noise Cancelling Headphones - Personalized Spatial Audio, USB-C Lossless Audio, Apple & Android Compatibility, Up to 40 Hours Battery Life - Sandstone",43.02,4.5 out of 5 stars,23500,4.5,23500,High
"ZIHNIC Bluetooth Headphones Over-Ear, Foldable Wireless and Wired Stereo Headset Micro SD/TF, FM for Cell Phone,PC,Soft Earmuffs &Light Weight for Prolonged Wearing (Black/Blue)",43.02,4.4 out of 5 stars,84305,4.4,84305,High
"Sponsored Ad - POLY Voyager Legend 50 UC Bluetooth Headset with Charging Case - 4 Noise-Canceling Mics, AI NoiseBlockAI & WindSmart Tech - Bluetooth Headphones with Mic, Smart Call Controls, All-Day Comfort",43.02,3.9 out of 5 stars,132,3.9,132,Medium
"Apple AirPods 4 Wireless Earbuds, Bluetooth Headphones, with Active Noise Cancellation, Adaptive Audio, Transparency Mode, Personalized Spatial Audio, USB-C Charging Case, Wireless Charging, H2 Chip",43.02,4.5 out of 5 stars,26954,4.5,26954,High
"Sponsored Ad - Conambo K21 Bluetooth Headset V5.1, Bluetooth Earpiece with CVC 8.0 Dual Mic Noise Cancelling Wireless Headphone - Mute & Volume Buttons 16Hrs Talking for iOS Android Cell Phone, Trucker, Office Work",34.71,4.4 out of 5 stars,271,4.4,271,High
"Boean Bluetooth Headphones, Wireless Headphones with 16 Hours Playtime Bluetooth 5.3 Wireless Earbuds HD Deep Bass Stereo Sound Isolation IPX7 Waterproof Earphones for Workout Running Sports",43.02,4.3 out of 5 stars,10911,4.3,10911,High
"Uliptz Wireless Bluetooth Headphones, 65H Playtime, 6 EQ Sound Modes, HiFi Stereo Over Ear Headphones with Microphone, Foldable Lightweight Bluetooth 5.3 Headphone for Travel/Office/Cellphone/PC",14.98,4.5 out of 5 stars,12559,4.5,12559,High
"Wireless Earbuds Bluetooth 5.3 Headphones, 40Hrs Playback Stereo Ear Buds with LED Display Charging Case IPX7 Waterproof in-Ear Earphones with Mic for Phone Tablet Laptop Sports, White",16.14,4.4 out of 5 stars,4715,4.4,4715,High
